id;code_param;end_points;attribute_01;attribute_02;attribute_03;attribute_04
1;Superviseur Shoes;Chair;Analyste Handcrafted;Kids Industrial;Mouse Practical boliviano;input
2;Plastic Tchad Bretagne;input interface Adaptive;mesh Books;Reactive Pastourelle;functionalities cyan leverage;Manager deploy actuating
3;Limousin a;teal bypass Tasty;enhance;methodologies back-end action-items;Handcrafted b;parse core Upgradable
4;COM;de;yellow;Stagiaire open-source Superviseur;intuitive Qatar Self-enabling;EXE
5;Investment;Computer withdrawal;Dinar;Concrete;extensible;Centre
6;array;back web-readiness;a;bottom-line Aquitaine Jordan;Computers cross-media Berkshire;Lorraine magnetic
7;c enable;users Account;value-added Mouse Money;Computers optical;port Île-de-France;Saint-Jacques
8;array compress;indexing Clothing;area interactive;Champagne-Ardenne;Aquitaine;Loan tan
9;Fresh;Ergonomic Grass-roots grid-enabled;Practical;Monténégro Steel;a Pula emulation;c
10;ADP Practical;Auvergne ADP Jewelery;Market;Salad copying c;neural;connect auxiliary
